年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2017年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,18.0000,17,0%,2,67.9411,17.65%,3,10015,10015030
2017年全年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,36.0000,35,0%,2,68.6000,22.86%,8,10015,10015030
2018年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,18.0000,18,0%,2,70.3333,11.11%,2,10015,10015030
2018年全年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,34.0000,34,0%,2,70.1470,11.76%,4,10015,10015030
2019年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,11.0000,11,0%,2,71.5454,18.18%,2,10015,10015030
2019年全年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,33.0000,32,0%,2,67.8125,25%,8,10015,10015030
2020年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,15.0000,15,0%,2,70.1333,40%,6,10015,10015030
2020年全年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,35.0000,34,0%,2,67.7647,29.41%,10,10015,10015030
2021年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,14.0000,14,0%,3,67.0714,35.71%,5,10015,10015030
2021年全年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,32.0000,32,0%,4,67.1250,28.13%,9,10015,10015030
2022年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,23.0000,23,0%,3,68.4347,17.39%,4,10015,10015030
2022年全年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,44.0000,44,0%,3,67.5000,13.64%,6,10015,10015030
2023年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,19.0000,18,0%,2,68.6666,22.22%,4,10015,10015030
2023年全年度,0645030011,臺北榮民總醫院玉里分院,3,1.0000,48.0000,45,2.08%,2,69.1333,22.22%,10,10015,10015030
2024年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,24.0000,24,0%,2,68.8333,29.17%,7,10015,10015030
2024年全年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,35.0000,33,0%,3,67.9090,24.24%,8,10015,10015030
2025年上半年度,0645030011,臺北榮民總醫院玉里分院,3,0.0000,24.0000,22,0%,2,71.3636,13.64%,3,10015,10015030
2014年全年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,15.0000,13,0%,1,72.5384,15.38%,2,10014,10014010
2015年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,6.0000,6,0%,1,71.3333,0%,0,10014,10014010
2015年全年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,12.0000,12,0%,1,69.8333,0%,0,10014,10014010
2016年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,8.0000,8,0%,1,70.8750,0%,0,10014,10014010
2016年全年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,24.0000,22,0%,1,68.8181,0%,0,10014,10014010
2017年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,12.0000,11,0%,1,72.3636,9.09%,1,10014,10014010
2017年全年度,0646010013,臺北榮民總醫院臺東分院,3,1.0000,30.0000,29,3.33%,1,68.5172,3.45%,1,10014,10014010
2018年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,14.0000,14,0%,1,71.2857,7.14%,1,10014,10014010
2018年全年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,35.0000,32,0%,1,71.4375,9.38%,3,10014,10014010
2019年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,21.0000,21,0%,1,70.7142,9.52%,2,10014,10014010
2019年全年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,38.0000,36,0%,1,70.7222,11.11%,4,10014,10014010
2020年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,10.0000,10,0%,1,74.4000,0%,0,10014,10014010
2020年全年度,0646010013,臺北榮民總醫院臺東分院,3,2.0000,39.0000,38,5.13%,2,74.5789,13.16%,5,10014,10014010
2021年上半年度,0646010013,臺北榮民總醫院臺東分院,3,1.0000,52.0000,51,1.92%,2,72.3137,23.53%,12,10014,10014010
2021年全年度,0646010013,臺北榮民總醫院臺東分院,3,1.0000,112.0000,107,0.89%,2,71.1308,16.82%,18,10014,10014010
2022年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,54.0000,52,0%,3,69.8653,13.46%,7,10014,10014010
2022年全年度,0646010013,臺北榮民總醫院臺東分院,3,1.0000,92.0000,85,1.09%,4,70.5529,16.47%,14,10014,10014010
2023年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,53.0000,53,0%,3,69.8867,13.21%,7,10014,10014010
2023年全年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,87.0000,83,0%,3,70.0843,12.05%,10,10014,10014010
2024年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,49.0000,48,0%,2,69.5000,14.58%,7,10014,10014010
2024年全年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,92.0000,89,0%,2,68.4382,14.61%,13,10014,10014010
2025年上半年度,0646010013,臺北榮民總醫院臺東分院,3,0.0000,36.0000,35,0%,1,70.3714,8.57%,3,10014,10014010
2014年全年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,67.0000,62,0%,6,70.6935,17.74%,11,63000,63000030
2015年上半年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,23.0000,23,0%,6,71.6521,26.09%,6,63000,63000030
2015年全年度,0901020013,中山醫療社團法人中山醫院,3,2.0000,68.0000,65,2.94%,8,72.2000,12.31%,8,63000,63000030
2016年上半年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,20.0000,20,0%,6,72.3000,10%,2,63000,63000030
2016年全年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,61.0000,58,0%,9,72.7758,12.07%,7,63000,63000030
2017年上半年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,32.0000,32,0%,10,68.0312,15.63%,5,63000,63000030
2017年全年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,74.0000,71,0%,11,69.6760,12.68%,9,63000,63000030
2018年上半年度,0901020013,中山醫療社團法人中山醫院,3,1.0000,36.0000,36,2.78%,9,70.2222,11.11%,4,63000,63000030
2018年全年度,0901020013,中山醫療社團法人中山醫院,3,2.0000,77.0000,71,2.6%,10,69.7746,8.45%,6,63000,63000030
2019年上半年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,31.0000,31,0%,8,73.0000,3.23%,1,63000,63000030
2019年全年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,60.0000,60,0%,9,72.1166,10%,6,63000,63000030
2020年上半年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,31.0000,29,0%,10,70.9310,3.45%,1,63000,63000030
2020年全年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,62.0000,57,0%,10,71.4912,8.77%,5,63000,63000030
2021年上半年度,0901020013,中山醫療社團法人中山醫院,3,1.0000,21.0000,21,4.76%,9,70.9047,9.52%,2,63000,63000030
2021年全年度,0901020013,中山醫療社團法人中山醫院,3,1.0000,41.0000,41,2.44%,10,71.2682,7.32%,3,63000,63000030
2022年上半年度,0901020013,中山醫療社團法人中山醫院,3,1.0000,18.0000,18,5.56%,7,72.5555,5.56%,1,63000,63000030
2022年全年度,0901020013,中山醫療社團法人中山醫院,3,1.0000,43.0000,43,2.33%,10,72.1627,6.98%,3,63000,63000030
2023年上半年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,26.0000,26,0%,6,69.3846,3.85%,1,63000,63000030
2023年全年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,54.0000,52,0%,10,71.5384,11.54%,6,63000,63000030
2024年上半年度,0901020013,中山醫療社團法人中山醫院,3,1.0000,21.0000,21,4.76%,5,69.8095,19.05%,4,63000,63000030
2024年全年度,0901020013,中山醫療社團法人中山醫院,3,1.0000,38.0000,37,2.63%,7,68.9459,16.22%,6,63000,63000030
2025年上半年度,0901020013,中山醫療社團法人中山醫院,3,0.0000,25.0000,25,0%,8,71.5200,12%,3,63000,63000030
2015年全年度,0901180023,郵政醫院（委託中英醫療社團法人經營）,3,0.0000,435.0000,430,0%,1,70.5418,9.07%,39,63000,63000050
2016年上半年度,0901180023,郵政醫院（委託中英醫療社團法人經營）,3,1.0000,507.0000,498,0.2%,1,72.4638,11.85%,59,63000,63000050
